node_id,fail_freq,mean_fail_time_h,p50_fail_time_h,p95_fail_time_h,name,infra_type,borough,lat,lon,flood_extreme_2080_depth_m
fuel_station_bp_0785,0.058,0.0,0,0,BP (BP),fuel,Queens,40.74182,-73.904022,0.2
fuel_station_speedy_gas_0204,0.057,0.0,0,0,Speedy Gas,fuel,Brooklyn,40.677492,-73.927847,0.2
fuel_station_allegiance_0213,0.057,0.0,0,0,Allegiance,fuel,Brooklyn,40.590464,-73.974521,0.2
fuel_station_shell_0945,0.055,0.0,0,0,Shell (Shell),fuel,Staten Island,40.612721,-74.124919,0.2
fuel_station_sunoco_1021,0.053,0.0,0,0,Sunoco (Sunoco),fuel,Brooklyn,40.61468,-73.927776,0.2
fuel_station_mobil_1165,0.051,0.0,0,0,Mobil (Mobil),fuel,Staten Island,40.610342,-74.147311,0.2
fuel_station_unknown_gas_station_0766,0.05,0.0,0,0,Unknown Gas Station,fuel,Brooklyn,40.64478,-73.910723,0.2
hospital_kings_county_hospital_center,0.042,24.0,24,24,Kings County Hospital Center,hospital,Brooklyn,40.656638,-73.944933,0.0
hospital_brookdale_hospital_medical_center,0.042,24.0,24,24,Brookdale Hospital Medical Center,hospital,Brooklyn,40.654951,-73.912419,0.0
hospital_university_hospital_of_brooklyn,0.042,24.0,24,24,University Hospital Of Brooklyn,hospital,Brooklyn,40.655078,-73.944911,0.0
hospital_kingsbrook_jewish_medical_village,0.042,24.0,24,24,Kingsbrook Jewish Medical Village,hospital,Brooklyn,40.659394,-73.933754,0.0
water_paerdegat_pumping_station,0.042,0.0,0,0,Paerdegat Pumping Station,water,Brooklyn,40.631952,-73.91763,0.2
hospital_mount_sinai_brooklyn,0.042,24.0,24,24,Mount Sinai Brooklyn,hospital,Brooklyn,40.618719,-73.942973,0.0
water_roosevelt_island_ops_command,0.024,43.5,6,96,Roosevelt Island-Ops Command,water,Manhattan,40.760607,-73.951593,0.0
fuel_station_sunoco_0869,0.016,6.0,6,6,Sunoco (Sunoco),fuel,Queens,40.710578,-73.852565,0.0
fuel_station_unknown_gas_station_0734,0.016,6.0,6,6,Unknown Gas Station,fuel,Queens,40.690702,-73.840726,0.0
telecom_cluster_00498,0.016,6.0,6,6,AT&T cluster,telecom,Queens,40.71085,-73.847,0.0
telecom_cluster_02594,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.7091,-73.8753,0.0
fuel_station_unknown_gas_station_0707,0.016,6.0,6,6,Unknown Gas Station,fuel,Queens,40.69181,-73.834942,0.0
telecom_cluster_02544,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.703712,-73.860512,0.0
telecom_cluster_02447,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.69515,-73.85285,0.0
telecom_cluster_02497,0.016,96.0,96,96,T-Mobile cluster,telecom,Queens,40.699283,-73.869317,0.0
telecom_cluster_00497,0.016,6.0,6,6,AT&T cluster,telecom,Queens,40.7101,-73.8489,0.0
fuel_station_shell_0634,0.016,6.0,6,6,Shell (Shell),fuel,Queens,40.702776,-73.854803,0.0
telecom_cluster_00585,0.016,96.0,96,96,AT&T cluster,telecom,Queens,40.718454,-73.838885,0.0
telecom_cluster_00545,0.016,96.0,96,96,AT&T cluster,telecom,Queens,40.71655,-73.843967,0.0
telecom_cluster_02499,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.699633,-73.853833,0.0
telecom_cluster_02655,0.016,96.0,96,96,T-Mobile cluster,telecom,Queens,40.715645,-73.841073,0.0
telecom_cluster_02654,0.016,96.0,96,96,T-Mobile cluster,telecom,Queens,40.7149,-73.844214,0.0
fuel_station_unknown_gas_station_0812,0.016,6.0,6,6,Unknown Gas Station,fuel,Queens,40.704461,-73.876625,0.0
telecom_cluster_02598,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.709833,-73.850673,0.0
fuel_station_bp_0635,0.016,6.0,6,6,BP (BP),fuel,Queens,40.702872,-73.855715,0.0
power_woodhaven,0.016,0.0,0,0,Woodhaven,power,Queens,40.689826,-73.843957,0.2
power_160th_avenue,0.016,0.0,0,0,160Th Avenue,power,Queens,40.65659,-73.847598,0.2
fuel_station_lukoil_1058,0.016,6.0,6,6,Lukoil (Lukoil),fuel,Queens,40.655162,-73.83837,0.0
telecom_cluster_02545,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.704938,-73.854875,0.0
telecom_cluster_01987,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.6446,-73.8721,0.0
telecom_cluster_02028,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.648433,-73.8713,0.0
telecom_cluster_02073,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.65515,-73.8602,0.0
telecom_cluster_02105,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.658133,-73.856133,0.0
telecom_cluster_02072,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.653033,-73.866,0.0
telecom_cluster_02599,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.709362,-73.84515,0.0
telecom_cluster_02546,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.7068,-73.8497,0.0
telecom_cluster_02597,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.710712,-73.855138,0.0
telecom_cluster_02543,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.70315,-73.8637,0.0
telecom_cluster_02653,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.7158,-73.848775,0.0
telecom_cluster_02498,0.016,6.0,6,6,T-Mobile cluster,telecom,Queens,40.701712,-73.86525,0.0
telecom_cluster_00949,0.014,96.0,96,96,AT&T cluster,telecom,Manhattan,40.765669,-73.964806,0.0
