node_id,name,infra_type,lat,lon,borough,flood_sandy_depth_m
subway_wtc_cortlandt_1,WTC Cortlandt,subway,40.711835,-74.012188,Manhattan,1.962
subway_world_trade_center_e,World Trade Center,subway,40.712582,-74.009781,Manhattan,0.0
subway_park_place_23,Park Place,subway,40.713051,-74.008811,Manhattan,1.962
subway_brooklyn_bridge_city_hall_456,Brooklyn Bridge-City Hall,subway,40.713065,-74.004131,Manhattan,1.962
subway_chambers_st_jz,Chambers St,subway,40.713243,-74.003401,Manhattan,1.962
subway_city_hall_rw,City Hall,subway,40.713282,-74.006978,Manhattan,1.962
subway_east_broadway_f,East Broadway,subway,40.713715,-73.990173,Manhattan,0.0
subway_chambers_st_ac,Chambers St,subway,40.714111,-74.008585,Manhattan,1.962
subway_chambers_st_123,Chambers St,subway,40.715478,-74.009266,Manhattan,1.962
subway_canal_st_jz,Canal St,subway,40.718092,-73.999892,Manhattan,1.962
subway_grand_st_bd,Grand St,subway,40.718267,-73.993753,Manhattan,1.962
subway_delancey_st_essex_st_jmz,Delancey St-Essex St,subway,40.718315,-73.987437,Manhattan,1.175
subway_canal_st_nq,Canal St,subway,40.718383,-74.00046,Manhattan,1.962
subway_delancey_st_essex_st_f,Delancey St-Essex St,subway,40.718611,-73.988114,Manhattan,1.175
subway_canal_st_6,Canal St,subway,40.718803,-74.000193,Manhattan,1.962
subway_franklin_st_1,Franklin St,subway,40.719318,-74.006886,Manhattan,1.962
subway_canal_st_rw,Canal St,subway,40.719527,-74.001775,Manhattan,1.962
subway_bowery_jz,Bowery,subway,40.72028,-73.993915,Manhattan,1.962
subway_canal_st_ace,Canal St,subway,40.720824,-74.005229,Manhattan,1.962
subway_spring_st_6,Spring St,subway,40.722301,-73.997141,Manhattan,1.962
subway_canal_st_1,Canal St,subway,40.722854,-74.006277,Manhattan,1.962
subway_2_av_f,2 Av,subway,40.723402,-73.989938,Manhattan,1.175
subway_prince_st_rw,Prince St,subway,40.724329,-73.997702,Manhattan,1.962
subway_broadway_lafayette_st_bdfm,Broadway-Lafayette St,subway,40.725297,-73.996204,Manhattan,1.962
subway_bleecker_st_6,Bleecker St,subway,40.725915,-73.994659,Manhattan,1.962
subway_spring_st_ce,Spring St,subway,40.726227,-74.003739,Manhattan,1.962
subway_houston_st_1,Houston St,subway,40.728251,-74.005367,Manhattan,1.962
subway_astor_pl_6,Astor Pl,subway,40.730054,-73.99107,Manhattan,0.852
subway_8_st_nyu_rw,8 St-NYU,subway,40.730328,-73.992629,Manhattan,1.161
subway_1_av_l,1 Av,subway,40.730953,-73.981628,Manhattan,0.852
subway_w_4_st_wash_sq_abcdefm,W 4 St-Wash Sq,subway,40.732338,-74.000495,Manhattan,1.161
subway_3_av_l,3 Av,subway,40.732849,-73.986122,Manhattan,0.852
subway_christopher_st_stonewall_1,Christopher St-Stonewall,subway,40.733422,-74.002906,Manhattan,1.161
subway_14_st_union_sq_456,14 St-Union Sq,subway,40.734673,-73.989951,Manhattan,1.19
subway_14_st_union_sq_l,14 St-Union Sq,subway,40.734789,-73.99073,Manhattan,0.81
subway_14_st_union_sq_nqrw,14 St-Union Sq,subway,40.735736,-73.990568,Manhattan,0.81
subway_6_av_l,6 Av,subway,40.737335,-73.996786,Manhattan,0.81
subway_14_st_123,14 St,subway,40.737826,-74.000201,Manhattan,0.81
subway_14_st_fm,14 St,subway,40.738228,-73.996209,Manhattan,0.81
subway_8_av_l,8 Av,subway,40.739777,-74.002578,Manhattan,0.81
subway_23_st_baruch_college_6,23 St-Baruch College,subway,40.739864,-73.986599,Manhattan,1.962
subway_14_st_ace,14 St,subway,40.740893,-74.00169,Manhattan,0.0
subway_18_st_1,18 St,subway,40.74104,-73.997871,Manhattan,0.0
subway_23_st_rw,23 St,subway,40.741303,-73.989344,Manhattan,0.0
subway_23_st_fm,23 St,subway,40.742878,-73.992821,Manhattan,0.0
subway_28_st_6,28 St,subway,40.74307,-73.984264,Manhattan,1.962
subway_23_st_1,23 St,subway,40.744081,-73.995657,Manhattan,0.0
subway_28_st_rw,28 St,subway,40.745494,-73.988691,Manhattan,0.331
subway_23_st_ce,23 St,subway,40.745906,-73.998041,Manhattan,0.0
subway_33_st_6,33 St,subway,40.746081,-73.982076,Manhattan,1.962
subway_28_st_1,28 St,subway,40.747215,-73.993365,Manhattan,0.0
