node_id,fail_freq,mean_fail_time_h,p50_fail_time_h,p95_fail_time_h,name,infra_type,lat,lon,borough,flood_sandy_depth_m
telecom_cluster_0168,1.0,0.0,0,0,T-Mobile cluster,telecom,40.728825,-73.993975,Manhattan,1.962
telecom_cluster_0115,1.0,0.0,0,0,T-Mobile cluster,telecom,40.70447,-74.006215,Manhattan,1.962
telecom_cluster_0165,1.0,0.0,0,0,T-Mobile cluster,telecom,40.7288,-74.0094,Manhattan,1.962
telecom_cluster_0026,1.0,0.0,0,0,AT&T cluster,telecom,40.71585,-74.00805,Manhattan,1.962
telecom_cluster_0114,1.0,0.0,0,0,T-Mobile cluster,telecom,40.706113,-74.010393,Manhattan,1.962
subway_3_av_l,1.0,0.0,0,0,3 Av,subway,40.732849,-73.986122,Manhattan,0.852
telecom_cluster_0010,1.0,0.2,0,0,AT&T cluster,telecom,40.703767,-73.999033,Manhattan,1.083
telecom_cluster_0053,1.0,0.0,0,0,AT&T cluster,telecom,40.7301,-74.010467,Manhattan,1.962
telecom_cluster_0122,1.0,0.0,0,0,T-Mobile cluster,telecom,40.710211,-74.014111,Manhattan,1.962
subway_wall_st_23,1.0,0.0,0,0,Wall St,subway,40.706821,-74.0091,Manhattan,1.962
telecom_cluster_0052,1.0,0.3,0,0,AT&T cluster,telecom,40.7256,-73.9718,Manhattan,0.852
subway_34_st_herald_sq_nqrw,1.0,0.0,0,0,34 St-Herald Sq,subway,40.749567,-73.98795,Manhattan,1.962
subway_broad_st_jz,1.0,0.0,0,0,Broad St,subway,40.706476,-74.011056,Manhattan,1.962
telecom_cluster_0008,1.0,0.0,0,0,AT&T cluster,telecom,40.705633,-74.0092,Manhattan,1.962
subway_28_st_6,1.0,0.0,0,0,28 St,subway,40.74307,-73.984264,Manhattan,1.962
telecom_cluster_0045,1.0,0.0,0,0,AT&T cluster,telecom,40.724378,-74.005511,Manhattan,1.962
telecom_cluster_0133,1.0,0.0,0,0,T-Mobile cluster,telecom,40.714856,-74.013833,Manhattan,1.962
telecom_cluster_0149,1.0,0.2,0,0,T-Mobile cluster,telecom,40.71997,-73.989337,Manhattan,1.175
telecom_cluster_0076,1.0,0.0,0,0,AT&T cluster,telecom,40.739967,-73.981133,Manhattan,1.962
