arm=static_mask  head=hazard  labels=/scratch/tj2587/results/legacy_v1_n1000  timing=unset  ckpt=/scratch/tj2587/results/gnn_hazard_v1/static_mask  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/legacy_v1_n1000 cascade_results files: 23 (need 23)
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 695,960  head=hazard
Device: cuda
  Ep03 step 4300/13600: loss = 0.08575
  Ep03 step 4400/13600: loss = 0.08333
  Ep03 step 4500/13600: loss = 0.08290
  Ep03 step 4600/13600: loss = 0.08059
  Ep03 step 4700/13600: loss = 0.08331
  Ep03 step 4800/13600: loss = 0.08291
  Ep03 step 4900/13600: loss = 0.08392
  Ep03 step 5000/13600: loss = 0.08101
  Ep03 step 5100/13600: loss = 0.08323
  Ep03 step 5200/13600: loss = 0.08314
  Ep03 step 5300/13600: loss = 0.08131
  Ep03 step 5400/13600: loss = 0.08367
  Ep03 step 5500/13600: loss = 0.08106
  Ep03 step 5600/13600: loss = 0.08052
  Ep03 step 5700/13600: loss = 0.07770
  Ep03 step 5800/13600: loss = 0.08292
  Ep03 step 5900/13600: loss = 0.08280
  Ep03 step 6000/13600: loss = 0.08037
  Ep03 step 6100/13600: loss = 0.08478
  Ep03 step 6200/13600: loss = 0.08418
  Ep03 step 6300/13600: loss = 0.08219
  Ep03 step 6400/13600: loss = 0.07838
  Ep03 step 6500/13600: loss = 0.08021
  Ep03 step 6600/13600: loss = 0.08258
  Ep03 step 6700/13600: loss = 0.08040
  Ep03 step 6800/13600: loss = 0.08024
  Ep03 step 6900/13600: loss = 0.08215
  Ep03 step 7000/13600: loss = 0.07885
  Ep03 step 7100/13600: loss = 0.08154
  Ep03 step 7200/13600: loss = 0.08318
  Ep03 step 7300/13600: loss = 0.08073
  Ep03 step 7400/13600: loss = 0.08313
  Ep03 step 7500/13600: loss = 0.08177
  Ep03 step 7600/13600: loss = 0.08007
  Ep03 step 7700/13600: loss = 0.07730
  Ep03 step 7800/13600: loss = 0.08377
  Ep03 step 7900/13600: loss = 0.08226
  Ep03 step 8000/13600: loss = 0.08441
  Ep03 step 8100/13600: loss = 0.08559
  Ep03 step 8200/13600: loss = 0.08099
  Ep03 step 8300/13600: loss = 0.08343
  Ep03 step 8400/13600: loss = 0.08366
  Ep03 step 8500/13600: loss = 0.08335
  Ep03 step 8600/13600: loss = 0.07843
