arm=dynamic_timing  head=hazard  labels=/scratch/tj2587/results/dynamic_v1/arrival_h360  timing=1  ckpt=/scratch/tj2587/results/gnn_hazard_v1/dynamic_timing  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/dynamic_v1/arrival_h360 cascade_results files: 23 (need 23)
[gate] timing table OK: 6942 rows
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 697,112  head=hazard
Device: cuda
[timing-features] loaded 23 scenarios from data/flood/timing/node_timing_jesse22_v1.csv (features ('arrival_h', 'duration_h', 'time_to_peak_h'), scaled by 96 h)
  Ep01 step 9200/13600: loss = 0.14371
  Ep01 step 9300/13600: loss = 0.14593
  Ep01 step 9400/13600: loss = 0.14372
  Ep01 step 9500/13600: loss = 0.15065
  Ep01 step 9600/13600: loss = 0.13361
  Ep01 step 9700/13600: loss = 0.13438
  Ep01 step 9800/13600: loss = 0.14030
  Ep01 step 9900/13600: loss = 0.14963
  Ep01 step 10000/13600: loss = 0.14787
  Ep01 step 10100/13600: loss = 0.14984
  Ep01 step 10200/13600: loss = 0.13756
  Ep01 step 10300/13600: loss = 0.14684
  Ep01 step 10400/13600: loss = 0.14598
  Ep01 step 10500/13600: loss = 0.14075
  Ep01 step 10600/13600: loss = 0.13698
  Ep01 step 10700/13600: loss = 0.13457
  Ep01 step 10800/13600: loss = 0.14178
  Ep01 step 10900/13600: loss = 0.13429
  Ep01 step 11000/13600: loss = 0.14474
  Ep01 step 11100/13600: loss = 0.14780
  Ep01 step 11200/13600: loss = 0.15347
  Ep01 step 11300/13600: loss = 0.15433
  Ep01 step 11400/13600: loss = 0.13833
  Ep01 step 11500/13600: loss = 0.14226
  Ep01 step 11600/13600: loss = 0.13867
  Ep01 step 11700/13600: loss = 0.15343
  Ep01 step 11800/13600: loss = 0.13845
  Ep01 step 11900/13600: loss = 0.13706
  Ep01 step 12000/13600: loss = 0.13883
  Ep01 step 12100/13600: loss = 0.15518
  Ep01 step 12200/13600: loss = 0.14537
  Ep01 step 12300/13600: loss = 0.14440
  Ep01 step 12400/13600: loss = 0.13433
  Ep01 step 12500/13600: loss = 0.15095
  Ep01 step 12600/13600: loss = 0.13546
  Ep01 step 12700/13600: loss = 0.14716
  Ep01 step 12800/13600: loss = 0.14559
  Ep01 step 12900/13600: loss = 0.13889
  Ep01 step 13000/13600: loss = 0.14921
  Ep01 step 13100/13600: loss = 0.15124
  Ep01 step 13200/13600: loss = 0.14551
  Ep01 step 13300/13600: loss = 0.15190
  Ep01 step 13400/13600: loss = 0.16046
  Ep01 step 13500/13600: loss = 0.14129
  Ep01 step 13600/13600: loss = 0.14488

Epoch 01/6 | train=0.14711 val=0.16782 | AUC=['0.994', '0.988', '0.983', '0.984'] PR=['0.960', '0.948', '0.939', '0.950'] | CASCADE-only AUC=['0.991', '0.984', '0.979', '0.980'] PR=['0.909', '0.903', '0.896', '0.917'] | mono_viol=0.00000 | 1435s

  [checkpoint] best.pt updated (epoch 1, val_loss=0.16782)
  Ep02 step  100/13600: loss = 0.14396
  Ep02 step  200/13600: loss = 0.14652
  Ep02 step  300/13600: loss = 0.14120
  Ep02 step  400/13600: loss = 0.14111
  Ep02 step  500/13600: loss = 0.13190
  Ep02 step  600/13600: loss = 0.14434
  Ep02 step  700/13600: loss = 0.14863
  Ep02 step  800/13600: loss = 0.14732
  Ep02 step  900/13600: loss = 0.15328
  Ep02 step 1000/13600: loss = 0.14565
  Ep02 step 1100/13600: loss = 0.14863
  Ep02 step 1200/13600: loss = 0.13903
  Ep02 step 1300/13600: loss = 0.15033
  Ep02 step 1400/13600: loss = 0.14580
  Ep02 step 1500/13600: loss = 0.15357
  Ep02 step 1600/13600: loss = 0.15075
  Ep02 step 1700/13600: loss = 0.14207
  Ep02 step 1800/13600: loss = 0.15136
  Ep02 step 1900/13600: loss = 0.13986
  Ep02 step 2000/13600: loss = 0.15561
  Ep02 step 2100/13600: loss = 0.14527
  Ep02 step 2200/13600: loss = 0.14410
  Ep02 step 2300/13600: loss = 0.13551
  Ep02 step 2400/13600: loss = 0.14345
  Ep02 step 2500/13600: loss = 0.14128
  Ep02 step 2600/13600: loss = 0.14848
  Ep02 step 2700/13600: loss = 0.14625
  Ep02 step 2800/13600: loss = 0.14469
  Ep02 step 2900/13600: loss = 0.12850
  Ep02 step 3000/13600: loss = 0.14339
  Ep02 step 3100/13600: loss = 0.14101
  Ep02 step 3200/13600: loss = 0.13354
  Ep02 step 3300/13600: loss = 0.15751
  Ep02 step 3400/13600: loss = 0.14783
  Ep02 step 3500/13600: loss = 0.13879
  Ep02 step 3600/13600: loss = 0.13932
  Ep02 step 3700/13600: loss = 0.15154
  Ep02 step 3800/13600: loss = 0.14459
  Ep02 step 3900/13600: loss = 0.14154
  Ep02 step 4000/13600: loss = 0.14763
  Ep02 step 4100/13600: loss = 0.14452
  Ep02 step 4200/13600: loss = 0.13486
  Ep02 step 4300/13600: loss = 0.14452
  Ep02 step 4400/13600: loss = 0.13180
  Ep02 step 4500/13600: loss = 0.14660
  Ep02 step 4600/13600: loss = 0.14602
  Ep02 step 4700/13600: loss = 0.13916
  Ep02 step 4800/13600: loss = 0.14259
  Ep02 step 4900/13600: loss = 0.13598
  Ep02 step 5000/13600: loss = 0.14913
  Ep02 step 5100/13600: loss = 0.14974
  Ep02 step 5200/13600: loss = 0.14746
  Ep02 step 5300/13600: loss = 0.14735
  Ep02 step 5400/13600: loss = 0.13643
  Ep02 step 5500/13600: loss = 0.14751
  Ep02 step 5600/13600: loss = 0.14627
  Ep02 step 5700/13600: loss = 0.13535
  Ep02 step 5800/13600: loss = 0.14286
  Ep02 step 5900/13600: loss = 0.14567
  Ep02 step 6000/13600: loss = 0.15100
  Ep02 step 6100/13600: loss = 0.14334
  Ep02 step 6200/13600: loss = 0.14986
  Ep02 step 6300/13600: loss = 0.14476
  Ep02 step 6400/13600: loss = 0.14591
  Ep02 step 6500/13600: loss = 0.14816
  Ep02 step 6600/13600: loss = 0.15406
  Ep02 step 6700/13600: loss = 0.13288
  Ep02 step 6800/13600: loss = 0.13763
  Ep02 step 6900/13600: loss = 0.14154
  Ep02 step 7000/13600: loss = 0.14484
  Ep02 step 7100/13600: loss = 0.15091
  Ep02 step 7200/13600: loss = 0.13790
  Ep02 step 7300/13600: loss = 0.15638
  Ep02 step 7400/13600: loss = 0.13963
  Ep02 step 7500/13600: loss = 0.14560
  Ep02 step 7600/13600: loss = 0.14177
  Ep02 step 7700/13600: loss = 0.14344
  Ep02 step 7800/13600: loss = 0.14890
  Ep02 step 7900/13600: loss = 0.14668
  Ep02 step 8000/13600: loss = 0.14470
