arm=static_timing  head=hazard  labels=/scratch/tj2587/results/legacy_v1_n1000  timing=1  ckpt=/scratch/tj2587/results/gnn_hazard_v1/static_timing  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/legacy_v1_n1000 cascade_results files: 23 (need 23)
[gate] timing table OK: 6942 rows
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 697,112  head=hazard
Device: cuda
[timing-features] loaded 23 scenarios from data/flood/timing/node_timing_jesse22_v1.csv (features ('arrival_h', 'duration_h', 'time_to_peak_h'), scaled by 96 h)
  Ep02 step  400/13600: loss = 0.07333
  Ep02 step  500/13600: loss = 0.06990
  Ep02 step  600/13600: loss = 0.07579
  Ep02 step  700/13600: loss = 0.07341
  Ep02 step  800/13600: loss = 0.07656
  Ep02 step  900/13600: loss = 0.07659
  Ep02 step 1000/13600: loss = 0.07478
  Ep02 step 1100/13600: loss = 0.07653
  Ep02 step 1200/13600: loss = 0.07297
  Ep02 step 1300/13600: loss = 0.07536
  Ep02 step 1400/13600: loss = 0.07890
  Ep02 step 1500/13600: loss = 0.07971
  Ep02 step 1600/13600: loss = 0.07431
  Ep02 step 1700/13600: loss = 0.07357
  Ep02 step 1800/13600: loss = 0.07882
  Ep02 step 1900/13600: loss = 0.07614
  Ep02 step 2000/13600: loss = 0.07822
  Ep02 step 2100/13600: loss = 0.07551
  Ep02 step 2200/13600: loss = 0.07676
  Ep02 step 2300/13600: loss = 0.07644
  Ep02 step 2400/13600: loss = 0.07724
  Ep02 step 2500/13600: loss = 0.07425
  Ep02 step 2600/13600: loss = 0.07452
  Ep02 step 2700/13600: loss = 0.07428
  Ep02 step 2800/13600: loss = 0.07570
  Ep02 step 2900/13600: loss = 0.07244
  Ep02 step 3000/13600: loss = 0.07326
  Ep02 step 3100/13600: loss = 0.07599
  Ep02 step 3200/13600: loss = 0.07092
  Ep02 step 3300/13600: loss = 0.07979
  Ep02 step 3400/13600: loss = 0.07487
  Ep02 step 3500/13600: loss = 0.07407
  Ep02 step 3600/13600: loss = 0.07499
  Ep02 step 3700/13600: loss = 0.07832
  Ep02 step 3800/13600: loss = 0.07469
  Ep02 step 3900/13600: loss = 0.07690
  Ep02 step 4000/13600: loss = 0.07579
  Ep02 step 4100/13600: loss = 0.07354
  Ep02 step 4200/13600: loss = 0.07675
  Ep02 step 4300/13600: loss = 0.07514
  Ep02 step 4400/13600: loss = 0.06609
  Ep02 step 4500/13600: loss = 0.07566
  Ep02 step 4600/13600: loss = 0.07670
  Ep02 step 4700/13600: loss = 0.07437
  Ep02 step 4800/13600: loss = 0.07787
  Ep02 step 4900/13600: loss = 0.07237
  Ep02 step 5000/13600: loss = 0.07810
  Ep02 step 5100/13600: loss = 0.07814
  Ep02 step 5200/13600: loss = 0.07413
  Ep02 step 5300/13600: loss = 0.07636
  Ep02 step 5400/13600: loss = 0.07239
  Ep02 step 5500/13600: loss = 0.07565
  Ep02 step 5600/13600: loss = 0.07703
  Ep02 step 5700/13600: loss = 0.07392
  Ep02 step 5800/13600: loss = 0.07299
  Ep02 step 5900/13600: loss = 0.07423
  Ep02 step 6000/13600: loss = 0.08266
  Ep02 step 6100/13600: loss = 0.07630
  Ep02 step 6200/13600: loss = 0.07448
  Ep02 step 6300/13600: loss = 0.06974
  Ep02 step 6400/13600: loss = 0.07358
  Ep02 step 6500/13600: loss = 0.07519
  Ep02 step 6600/13600: loss = 0.07663
  Ep02 step 6700/13600: loss = 0.07061
  Ep02 step 6800/13600: loss = 0.07169
  Ep02 step 6900/13600: loss = 0.07216
  Ep02 step 7000/13600: loss = 0.07554
  Ep02 step 7100/13600: loss = 0.07575
  Ep02 step 7200/13600: loss = 0.07386
  Ep02 step 7300/13600: loss = 0.07916
  Ep02 step 7400/13600: loss = 0.07322
  Ep02 step 7500/13600: loss = 0.07162
  Ep02 step 7600/13600: loss = 0.07092
  Ep02 step 7700/13600: loss = 0.07567
  Ep02 step 7800/13600: loss = 0.07331
  Ep02 step 7900/13600: loss = 0.07609
  Ep02 step 8000/13600: loss = 0.07265
  Ep02 step 8100/13600: loss = 0.07684
  Ep02 step 8200/13600: loss = 0.07935
  Ep02 step 8300/13600: loss = 0.07429
  Ep02 step 8400/13600: loss = 0.07254
  Ep02 step 8500/13600: loss = 0.07524
  Ep02 step 8600/13600: loss = 0.07213
  Ep02 step 8700/13600: loss = 0.07514
  Ep02 step 8800/13600: loss = 0.07390
  Ep02 step 8900/13600: loss = 0.07827
  Ep02 step 9000/13600: loss = 0.07554
  Ep02 step 9100/13600: loss = 0.06923
  Ep02 step 9200/13600: loss = 0.07743
  Ep02 step 9300/13600: loss = 0.07752
  Ep02 step 9400/13600: loss = 0.07406
  Ep02 step 9500/13600: loss = 0.07674
  Ep02 step 9600/13600: loss = 0.07204
  Ep02 step 9700/13600: loss = 0.07552
  Ep02 step 9800/13600: loss = 0.07424
  Ep02 step 9900/13600: loss = 0.07553
  Ep02 step 10000/13600: loss = 0.07729
  Ep02 step 10100/13600: loss = 0.07261
  Ep02 step 10200/13600: loss = 0.07953
  Ep02 step 10300/13600: loss = 0.07333
  Ep02 step 10400/13600: loss = 0.07689
  Ep02 step 10500/13600: loss = 0.07240
  Ep02 step 10600/13600: loss = 0.08186
  Ep02 step 10700/13600: loss = 0.07298
  Ep02 step 10800/13600: loss = 0.07590
  Ep02 step 10900/13600: loss = 0.07212
  Ep02 step 11000/13600: loss = 0.07604
  Ep02 step 11100/13600: loss = 0.07593
  Ep02 step 11200/13600: loss = 0.07213
  Ep02 step 11300/13600: loss = 0.07601
  Ep02 step 11400/13600: loss = 0.07683
  Ep02 step 11500/13600: loss = 0.07470
  Ep02 step 11600/13600: loss = 0.07723
  Ep02 step 11700/13600: loss = 0.07291
  Ep02 step 11800/13600: loss = 0.07356
  Ep02 step 11900/13600: loss = 0.07341
  Ep02 step 12000/13600: loss = 0.07424
  Ep02 step 12100/13600: loss = 0.07428
  Ep02 step 12200/13600: loss = 0.07441
  Ep02 step 12300/13600: loss = 0.07417
  Ep02 step 12400/13600: loss = 0.07290
  Ep02 step 12500/13600: loss = 0.07712
  Ep02 step 12600/13600: loss = 0.07216
  Ep02 step 12700/13600: loss = 0.07724
  Ep02 step 12800/13600: loss = 0.07713
  Ep02 step 12900/13600: loss = 0.07722
  Ep02 step 13000/13600: loss = 0.07448
  Ep02 step 13100/13600: loss = 0.07522
  Ep02 step 13200/13600: loss = 0.07360
  Ep02 step 13300/13600: loss = 0.07457
  Ep02 step 13400/13600: loss = 0.07099
  Ep02 step 13500/13600: loss = 0.07497
  Ep02 step 13600/13600: loss = 0.07477

Epoch 02/6 | train=0.07500 val=0.10136 | AUC=['0.999', '0.997', '0.993', '0.990'] PR=['0.989', '0.973', '0.958', '0.957'] | CASCADE-only AUC=['0.998', '0.995', '0.990', '0.987'] PR=['0.959', '0.937', '0.918', '0.927'] | mono_viol=0.00000 | 2235s

  Ep03 step  100/13600: loss = 0.07746
  Ep03 step  200/13600: loss = 0.07419
  Ep03 step  300/13600: loss = 0.07164
  Ep03 step  400/13600: loss = 0.07569
  Ep03 step  500/13600: loss = 0.07650
  Ep03 step  600/13600: loss = 0.07792
  Ep03 step  700/13600: loss = 0.07562
  Ep03 step  800/13600: loss = 0.07853
  Ep03 step  900/13600: loss = 0.07506
  Ep03 step 1000/13600: loss = 0.07668
  Ep03 step 1100/13600: loss = 0.07517
  Ep03 step 1200/13600: loss = 0.07594
  Ep03 step 1300/13600: loss = 0.07453
  Ep03 step 1400/13600: loss = 0.07425
  Ep03 step 1500/13600: loss = 0.07471
  Ep03 step 1600/13600: loss = 0.07086
  Ep03 step 1700/13600: loss = 0.07105
  Ep03 step 1800/13600: loss = 0.07490
  Ep03 step 1900/13600: loss = 0.07084
  Ep03 step 2000/13600: loss = 0.07572
  Ep03 step 2100/13600: loss = 0.07113
  Ep03 step 2200/13600: loss = 0.07363
  Ep03 step 2300/13600: loss = 0.07235
  Ep03 step 2400/13600: loss = 0.07125
  Ep03 step 2500/13600: loss = 0.07229
