node_id,infra_type,lon,lat,flood_depth_m,flooded
power_rosedale,power,-73.73679466599998,40.66798714000004,0.0,False
power_253rd_place,power,-73.73522798199997,40.65670489400003,0.0,False
power_unknown135536,power,-73.81715392199999,40.69838493800006,0.0,False
power_newtown,power,-73.93154857899998,40.74298485400004,0.0,False
power_rainey,power,-73.94302610599993,40.76322512000007,0.0,False
power_vernon,power,-73.94692999499995,40.75813570300005,0.2,True
power_queensbridge,power,-73.93823054699999,40.75629073600004,0.2,True
power_unknown129920,power,-74.19618602299994,40.61701633800004,0.0,False
power_fresh_kills,power,-74.19719853899994,40.58921724800007,0.0,False
power_willowbrook,power,-74.14562504499997,40.610779524000066,0.0,False
power_woodrow,power,-74.21525795499997,40.554765426000074,0.0,False
power_unknown140881,power,-74.15236306299994,40.62581116900003,0.0,False
power_westerleigh,power,-74.13125164499996,40.62794496400005,0.0,False
power_odin,power,-74.12058159099996,40.575830102000054,0.0,False
power_clove_lakes,power,-74.11751275699999,40.61374503300004,0.0,False
power_naughton,power,-74.09449117699995,40.58481175800006,0.0,False
power_silver_lake,power,-74.08645758799997,40.63214491100007,0.0,False
power_dongan_hills,power,-74.08524993599997,40.58883570900008,0.0,False
power_seaside,power,-74.08242265399997,40.582018506000054,0.0,False
power_wadsworth,power,-74.06649522199996,40.60552066300005,0.6,True
power_howland_hook,power,-74.18220741199997,40.641255252000065,0.0,False
power_port_richmond,power,-74.13038874499995,40.638959003000025,0.0,False
power_unknown140894,power,-74.10930363399996,40.64485272100006,0.0,False
power_new_brighton_substation,power,-74.09311898599998,40.64513311300004,0.0,False
power_cedar_street,power,-73.78033732199998,40.91505478600004,0.0,False
power_foundry_street,power,-74.13288060099995,40.72922314500005,0.0,False
power_central_ave,power,-74.19967038299995,40.751187869000034,0.0,False
power_irvington,power,-74.22762500499994,40.72638555800006,0.0,False
power_unknown132353,power,-74.11036363999995,40.744829682000045,0.0,False
power_harrison,power,-74.15427588799997,40.74505057400006,0.0,False
power_unknown132602,power,-74.13097084799995,40.72035016400008,0.0,False
power_unknown132351,power,-74.11857729799993,40.744940729000064,0.0,False
power_port_street,power,-74.14636916999996,40.70354995100007,0.0,False
power_clay_street,power,-74.16684087999994,40.75047212700008,0.0,False
power_unknown132349,power,-74.12109645899994,40.74333567200006,0.0,False
power_ironbound,power,-74.16118207499994,40.72202048500003,0.0,False
power_mott_haven,power,-73.90622089899995,40.80801790500004,0.0,False
power_unknown133197,power,-74.04820094399997,40.73274141200005,0.0,False
power_waverly,power,-74.19843169799998,40.69027374800004,0.0,False
