fips_code,county,state,customers_out,run_start_time
25025,Suffolk,Massachusetts,23,2018-01-05 18:00:00
25025,Suffolk,Massachusetts,22,2018-01-05 18:15:00
25025,Suffolk,Massachusetts,18,2018-01-05 18:30:00
25025,Suffolk,Massachusetts,18,2018-01-05 18:45:00
25025,Suffolk,Massachusetts,18,2018-01-05 19:00:00
25025,Suffolk,Massachusetts,18,2018-01-05 19:15:00
25025,Suffolk,Massachusetts,18,2018-01-05 19:30:00
25025,Suffolk,Massachusetts,22,2018-01-05 19:45:00
25025,Suffolk,Massachusetts,1,2018-01-05 20:00:00
25025,Suffolk,Massachusetts,2,2018-01-05 20:15:00
25025,Suffolk,Massachusetts,1,2018-01-05 20:30:00
25025,Suffolk,Massachusetts,1,2018-01-05 20:45:00
25025,Suffolk,Massachusetts,2,2018-01-05 21:00:00
25025,Suffolk,Massachusetts,1,2018-01-05 21:15:00
25025,Suffolk,Massachusetts,19,2018-01-05 21:30:00
25025,Suffolk,Massachusetts,19,2018-01-05 21:45:00
25025,Suffolk,Massachusetts,21,2018-01-05 22:00:00
25025,Suffolk,Massachusetts,20,2018-01-05 22:15:00
25025,Suffolk,Massachusetts,6,2018-01-05 22:30:00
25025,Suffolk,Massachusetts,6,2018-01-05 22:45:00
25025,Suffolk,Massachusetts,8,2018-01-05 23:00:00
25025,Suffolk,Massachusetts,24,2018-01-05 23:15:00
25025,Suffolk,Massachusetts,24,2018-01-05 23:30:00
25025,Suffolk,Massachusetts,24,2018-01-05 23:45:00
25025,Suffolk,Massachusetts,29,2018-01-06 00:00:00
25025,Suffolk,Massachusetts,26,2018-01-06 00:15:00
25025,Suffolk,Massachusetts,26,2018-01-06 00:30:00
25025,Suffolk,Massachusetts,27,2018-01-06 00:45:00
25025,Suffolk,Massachusetts,27,2018-01-06 01:00:00
25025,Suffolk,Massachusetts,22,2018-01-06 01:15:00
25025,Suffolk,Massachusetts,24,2018-01-06 01:30:00
25025,Suffolk,Massachusetts,6,2018-01-06 01:45:00
25025,Suffolk,Massachusetts,6,2018-01-06 02:00:00
25025,Suffolk,Massachusetts,6,2018-01-06 02:15:00
25025,Suffolk,Massachusetts,23,2018-01-06 02:30:00
25025,Suffolk,Massachusetts,23,2018-01-06 02:45:00
25025,Suffolk,Massachusetts,23,2018-01-06 03:00:00
25025,Suffolk,Massachusetts,22,2018-01-06 03:15:00
25025,Suffolk,Massachusetts,21,2018-01-06 03:30:00
25025,Suffolk,Massachusetts,21,2018-01-06 03:45:00
25025,Suffolk,Massachusetts,48,2018-01-06 04:00:00
25025,Suffolk,Massachusetts,47,2018-01-06 04:15:00
25025,Suffolk,Massachusetts,47,2018-01-06 04:30:00
25025,Suffolk,Massachusetts,47,2018-01-06 05:00:00
25025,Suffolk,Massachusetts,47,2018-01-06 05:15:00
25025,Suffolk,Massachusetts,47,2018-01-06 05:30:00
25025,Suffolk,Massachusetts,47,2018-01-06 05:45:00
25025,Suffolk,Massachusetts,47,2018-01-06 06:00:00
25025,Suffolk,Massachusetts,47,2018-01-06 06:15:00
25025,Suffolk,Massachusetts,21,2018-01-06 06:30:00
25025,Suffolk,Massachusetts,21,2018-01-06 06:45:00
25025,Suffolk,Massachusetts,21,2018-01-06 07:00:00
25025,Suffolk,Massachusetts,21,2018-01-06 07:15:00
25025,Suffolk,Massachusetts,21,2018-01-06 07:30:00
25025,Suffolk,Massachusetts,2,2018-01-06 07:45:00
25025,Suffolk,Massachusetts,1,2018-01-06 08:00:00
25025,Suffolk,Massachusetts,1,2018-01-06 08:15:00
25025,Suffolk,Massachusetts,1,2018-01-06 08:30:00
25025,Suffolk,Massachusetts,1,2018-01-06 08:45:00
25025,Suffolk,Massachusetts,1,2018-01-06 09:00:00
25025,Suffolk,Massachusetts,1,2018-01-06 09:15:00
25025,Suffolk,Massachusetts,1,2018-01-06 09:30:00
25025,Suffolk,Massachusetts,1,2018-01-06 09:45:00
25025,Suffolk,Massachusetts,1,2018-01-06 10:00:00
25025,Suffolk,Massachusetts,1,2018-01-06 10:15:00
25025,Suffolk,Massachusetts,1,2018-01-06 13:30:00
25025,Suffolk,Massachusetts,1,2018-01-06 13:45:00
25025,Suffolk,Massachusetts,6,2018-01-06 14:00:00
25025,Suffolk,Massachusetts,6,2018-01-06 14:15:00
25025,Suffolk,Massachusetts,6,2018-01-06 14:30:00
25025,Suffolk,Massachusetts,939,2018-01-06 14:45:00
25025,Suffolk,Massachusetts,941,2018-01-06 15:00:00
25025,Suffolk,Massachusetts,941,2018-01-06 15:15:00
25025,Suffolk,Massachusetts,939,2018-01-06 15:30:00
25025,Suffolk,Massachusetts,101,2018-01-06 15:45:00
25025,Suffolk,Massachusetts,97,2018-01-06 16:00:00
25025,Suffolk,Massachusetts,101,2018-01-06 16:15:00
25025,Suffolk,Massachusetts,100,2018-01-06 16:30:00
25025,Suffolk,Massachusetts,100,2018-01-06 16:45:00
25025,Suffolk,Massachusetts,33,2018-01-06 17:00:00
25025,Suffolk,Massachusetts,32,2018-01-06 17:15:00
25025,Suffolk,Massachusetts,32,2018-01-06 17:30:00
25025,Suffolk,Massachusetts,32,2018-01-06 17:45:00
25025,Suffolk,Massachusetts,5,2018-01-06 18:00:00
25025,Suffolk,Massachusetts,33,2018-01-06 18:15:00
25025,Suffolk,Massachusetts,34,2018-01-06 18:30:00
25025,Suffolk,Massachusetts,34,2018-01-06 18:45:00
25025,Suffolk,Massachusetts,34,2018-01-06 19:00:00
25025,Suffolk,Massachusetts,34,2018-01-06 19:15:00
25025,Suffolk,Massachusetts,35,2018-01-06 19:30:00
25025,Suffolk,Massachusetts,35,2018-01-06 19:45:00
25025,Suffolk,Massachusetts,7,2018-01-06 20:00:00
25025,Suffolk,Massachusetts,6,2018-01-06 20:15:00
25025,Suffolk,Massachusetts,6,2018-01-06 20:30:00
25025,Suffolk,Massachusetts,5,2018-01-06 20:45:00
25025,Suffolk,Massachusetts,5,2018-01-06 21:00:00
25025,Suffolk,Massachusetts,5,2018-01-06 21:15:00
25025,Suffolk,Massachusetts,5,2018-01-06 21:30:00
25025,Suffolk,Massachusetts,6,2018-01-06 21:45:00
25025,Suffolk,Massachusetts,6,2018-01-06 22:00:00
25025,Suffolk,Massachusetts,6,2018-01-06 22:15:00
25025,Suffolk,Massachusetts,6,2018-01-06 22:30:00
25025,Suffolk,Massachusetts,7,2018-01-06 22:45:00
25025,Suffolk,Massachusetts,5,2018-01-06 23:00:00
25025,Suffolk,Massachusetts,5,2018-01-06 23:15:00
25025,Suffolk,Massachusetts,6,2018-01-06 23:30:00
25025,Suffolk,Massachusetts,5,2018-01-06 23:45:00
25025,Suffolk,Massachusetts,6,2018-01-07 00:15:00
25025,Suffolk,Massachusetts,5,2018-01-07 00:30:00
25025,Suffolk,Massachusetts,5,2018-01-07 00:45:00
25025,Suffolk,Massachusetts,5,2018-01-07 01:00:00
25025,Suffolk,Massachusetts,5,2018-01-07 01:15:00
25025,Suffolk,Massachusetts,5,2018-01-07 01:30:00
25025,Suffolk,Massachusetts,5,2018-01-07 01:45:00
25025,Suffolk,Massachusetts,5,2018-01-07 02:00:00
25025,Suffolk,Massachusetts,38,2018-01-07 02:15:00
25025,Suffolk,Massachusetts,38,2018-01-07 02:30:00
25025,Suffolk,Massachusetts,5,2018-01-07 02:45:00
25025,Suffolk,Massachusetts,5,2018-01-07 03:00:00
25025,Suffolk,Massachusetts,5,2018-01-07 03:15:00
25025,Suffolk,Massachusetts,5,2018-01-07 03:45:00
25025,Suffolk,Massachusetts,60,2018-01-07 04:00:00
25025,Suffolk,Massachusetts,60,2018-01-07 04:15:00
25025,Suffolk,Massachusetts,60,2018-01-07 04:30:00
25025,Suffolk,Massachusetts,60,2018-01-07 04:45:00
25025,Suffolk,Massachusetts,60,2018-01-07 05:00:00
25025,Suffolk,Massachusetts,60,2018-01-07 05:15:00
25025,Suffolk,Massachusetts,60,2018-01-07 05:30:00
25025,Suffolk,Massachusetts,133,2018-01-07 05:45:00
25025,Suffolk,Massachusetts,189,2018-01-07 06:00:00
25025,Suffolk,Massachusetts,189,2018-01-07 06:15:00
25025,Suffolk,Massachusetts,192,2018-01-07 06:30:00
25025,Suffolk,Massachusetts,627,2018-01-07 06:45:00
25025,Suffolk,Massachusetts,626,2018-01-07 07:00:00
25025,Suffolk,Massachusetts,622,2018-01-07 07:15:00
25025,Suffolk,Massachusetts,622,2018-01-07 07:30:00
25025,Suffolk,Massachusetts,622,2018-01-07 07:45:00
25025,Suffolk,Massachusetts,622,2018-01-07 08:00:00
25025,Suffolk,Massachusetts,1361,2018-01-07 08:15:00
25025,Suffolk,Massachusetts,1393,2018-01-07 08:30:00
25025,Suffolk,Massachusetts,1352,2018-01-07 08:45:00
25025,Suffolk,Massachusetts,1353,2018-01-07 09:00:00
25025,Suffolk,Massachusetts,1353,2018-01-07 09:15:00
25025,Suffolk,Massachusetts,1355,2018-01-07 09:30:00
25025,Suffolk,Massachusetts,748,2018-01-07 09:45:00
25025,Suffolk,Massachusetts,748,2018-01-07 10:00:00
25025,Suffolk,Massachusetts,748,2018-01-07 10:15:00
25025,Suffolk,Massachusetts,748,2018-01-07 10:30:00
25025,Suffolk,Massachusetts,748,2018-01-07 10:45:00
25025,Suffolk,Massachusetts,750,2018-01-07 11:00:00
25025,Suffolk,Massachusetts,750,2018-01-07 11:15:00
