arm=dynamic_timing  labels=/scratch/tj2587/results/dynamic_v1/arrival_h360  timing=1  ckpt=/scratch/tj2587/results/gnn_2x2_v1/dynamic_timing  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/dynamic_v1/arrival_h360 cascade_results files: 23 (need 23)
[gate] timing table OK: 6942 rows
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 697,112
Device: cuda
[timing-features] loaded 23 scenarios from data/flood/timing/node_timing_jesse22_v1.csv (features ('arrival_h', 'duration_h', 'time_to_peak_h'), scaled by 96 h)
  Ep02 step 12200/13600: loss = 0.14207
  Ep02 step 12300/13600: loss = 0.13896
  Ep02 step 12400/13600: loss = 0.13454
  Ep02 step 12500/13600: loss = 0.14699
  Ep02 step 12600/13600: loss = 0.14088
  Ep02 step 12700/13600: loss = 0.14485
  Ep02 step 12800/13600: loss = 0.14159
  Ep02 step 12900/13600: loss = 0.15248
  Ep02 step 13000/13600: loss = 0.14044
  Ep02 step 13100/13600: loss = 0.15065
  Ep02 step 13200/13600: loss = 0.14292
  Ep02 step 13300/13600: loss = 0.14774
  Ep02 step 13400/13600: loss = 0.13948
  Ep02 step 13500/13600: loss = 0.14024
  Ep02 step 13600/13600: loss = 0.13797

Epoch 02/6 | train=0.14381 val=0.16829 | AUC=['0.994', '0.989', '0.984', '0.985'] PR=['0.961', '0.953', '0.943', '0.952'] | CASCADE-only AUC=['0.992', '0.986', '0.981', '0.981'] PR=['0.911', '0.910', '0.902', '0.921'] | 2657s

  Ep03 step  100/13600: loss = 0.15068
  Ep03 step  200/13600: loss = 0.14583
  Ep03 step  300/13600: loss = 0.14319
  Ep03 step  400/13600: loss = 0.13727
  Ep03 step  500/13600: loss = 0.14744
  Ep03 step  600/13600: loss = 0.14776
  Ep03 step  700/13600: loss = 0.14162
  Ep03 step  800/13600: loss = 0.15056
  Ep03 step  900/13600: loss = 0.14513
  Ep03 step 1000/13600: loss = 0.14323
  Ep03 step 1100/13600: loss = 0.14523
  Ep03 step 1200/13600: loss = 0.14997
  Ep03 step 1300/13600: loss = 0.13836
  Ep03 step 1400/13600: loss = 0.14951
  Ep03 step 1500/13600: loss = 0.14626
  Ep03 step 1600/13600: loss = 0.13340
  Ep03 step 1700/13600: loss = 0.14066
  Ep03 step 1800/13600: loss = 0.15091
  Ep03 step 1900/13600: loss = 0.14809
  Ep03 step 2000/13600: loss = 0.14557
  Ep03 step 2100/13600: loss = 0.13427
  Ep03 step 2200/13600: loss = 0.13360
  Ep03 step 2300/13600: loss = 0.14390
  Ep03 step 2400/13600: loss = 0.13447
  Ep03 step 2500/13600: loss = 0.13511
  Ep03 step 2600/13600: loss = 0.14341
  Ep03 step 2700/13600: loss = 0.15103
  Ep03 step 2800/13600: loss = 0.14113
  Ep03 step 2900/13600: loss = 0.14653
  Ep03 step 3000/13600: loss = 0.14570
  Ep03 step 3100/13600: loss = 0.14536
  Ep03 step 3200/13600: loss = 0.14869
  Ep03 step 3300/13600: loss = 0.14990
  Ep03 step 3400/13600: loss = 0.13858
  Ep03 step 3500/13600: loss = 0.14047
  Ep03 step 3600/13600: loss = 0.14119
  Ep03 step 3700/13600: loss = 0.14592
  Ep03 step 3800/13600: loss = 0.14649
  Ep03 step 3900/13600: loss = 0.13410
  Ep03 step 4000/13600: loss = 0.14670
  Ep03 step 4100/13600: loss = 0.15627
  Ep03 step 4200/13600: loss = 0.14267
  Ep03 step 4300/13600: loss = 0.14799
  Ep03 step 4400/13600: loss = 0.14502
  Ep03 step 4500/13600: loss = 0.15013
  Ep03 step 4600/13600: loss = 0.13270
  Ep03 step 4700/13600: loss = 0.14509
  Ep03 step 4800/13600: loss = 0.14436
  Ep03 step 4900/13600: loss = 0.14720
  Ep03 step 5000/13600: loss = 0.13828
  Ep03 step 5100/13600: loss = 0.14172
  Ep03 step 5200/13600: loss = 0.14204
  Ep03 step 5300/13600: loss = 0.14018
  Ep03 step 5400/13600: loss = 0.14037
  Ep03 step 5500/13600: loss = 0.13740
  Ep03 step 5600/13600: loss = 0.14229
  Ep03 step 5700/13600: loss = 0.13491
  Ep03 step 5800/13600: loss = 0.14081
  Ep03 step 5900/13600: loss = 0.13595
  Ep03 step 6000/13600: loss = 0.13828
  Ep03 step 6100/13600: loss = 0.14757
  Ep03 step 6200/13600: loss = 0.14473
  Ep03 step 6300/13600: loss = 0.14269
  Ep03 step 6400/13600: loss = 0.13334
  Ep03 step 6500/13600: loss = 0.13222
  Ep03 step 6600/13600: loss = 0.14542
  Ep03 step 6700/13600: loss = 0.13952
  Ep03 step 6800/13600: loss = 0.13986
  Ep03 step 6900/13600: loss = 0.13797
  Ep03 step 7000/13600: loss = 0.13392
  Ep03 step 7100/13600: loss = 0.13506
